train_loss_step,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train
722.1797485351562,690.8598022460938,753.066162109375,681.7694091796875,71.29672241210938,0.0,716.527587890625,778.6815185546875,707.4448852539062,71.23661041259766,0.0
689.70166015625,690.2598876953125,752.2008056640625,681.0044555664062,71.19635772705078,0.0,716.6641845703125,778.5792236328125,707.4125366210938,71.16667175292969,0.0
697.4945068359375,690.8721313476562,752.5606079101562,681.4500122070312,71.11058807373047,0.0,716.4428100585938,778.2039184570312,707.0093994140625,71.19451141357422,0.0
698.0104370117188,690.8480834960938,752.3594970703125,681.248046875,71.11146545410156,0.0,716.6351318359375,778.1484985351562,707.0347290039062,71.11378479003906,0.0
755.2557373046875,690.68798828125,752.0057983398438,680.9127197265625,71.09306335449219,0.0,717.0131225585938,778.4066162109375,707.2257080078125,71.18087768554688,0.0
716.5556640625,690.985107421875,752.2747802734375,681.0077514648438,71.26700592041016,0.0,717.3046264648438,778.4608764648438,707.3489379882812,71.11194610595703,0.0
686.0497436523438,691.2139282226562,752.33349609375,681.0570068359375,71.27647399902344,0.0,717.2412109375,778.3033447265625,707.09375,71.2095718383789,0.0
708.3526000976562,691.5316162109375,752.3721313476562,681.2137451171875,71.15838623046875,0.0,717.4420776367188,778.2885131835938,707.123046875,71.16545867919922,0.0
757.202880859375,691.089111328125,751.81494140625,680.5823364257812,71.23258209228516,0.0,717.8094482421875,778.4896240234375,707.3106689453125,71.1789779663086,0.0
743.4078979492188,691.4989624023438,751.9768676757812,680.8263549804688,71.1505126953125,0.0,717.8189086914062,778.3671875,707.134033203125,71.23316955566406,0.0
740.4971923828125,691.4553833007812,751.8359375,680.59033203125,71.2455825805664,0.0,717.99560546875,778.28955078125,707.1463012695312,71.14327239990234,0.0
710.4774169921875,691.8612670898438,752.1516723632812,680.802001953125,71.34968566894531,0.0,718.0108642578125,778.17333984375,706.9752807617188,71.19806671142578,0.0
718.21875,692.201904296875,752.2452392578125,680.9771118164062,71.26809692382812,0.0,718.168701171875,778.1836547851562,706.9494018554688,71.23424530029297,0.0
710.2179565429688,692.5183715820312,752.3935546875,681.113525390625,71.280029296875,0.0,718.3832397460938,778.1682739257812,706.9954833984375,71.17281341552734,0.0
740.833251953125,691.9000854492188,751.5147705078125,680.3331909179688,71.18157958984375,0.0,718.3488159179688,777.9827880859375,706.7780151367188,71.20476531982422,0.0
748.2835083007812,692.525634765625,752.1735229492188,680.7389526367188,71.4345474243164,0.0,718.6055297851562,778.0813598632812,706.85302734375,71.22834014892578,0.0
719.6138916015625,692.615234375,751.9032592773438,680.6864624023438,71.21678161621094,0.0,718.685791015625,777.9616088867188,706.759521484375,71.20206451416016,0.0
677.3738403320312,693.6168823242188,752.8176879882812,681.4913940429688,71.3262939453125,0.0,718.69384765625,777.83056640625,706.5814208984375,71.24917602539062,0.0
731.2505493164062,692.5262451171875,751.5555419921875,680.220947265625,71.33460998535156,0.0,718.9679565429688,777.90185546875,706.6827392578125,71.2191162109375,0.0
714.8604736328125,692.8462524414062,751.6117553710938,680.380859375,71.23089599609375,0.0,719.3806762695312,778.1184692382812,706.9210205078125,71.19745635986328,0.0
749.1531372070312,693.6646728515625,752.2659912109375,681.0182495117188,71.24775695800781,0.0,719.3226318359375,777.864013671875,706.6889038085938,71.17510223388672,0.0
705.6174926757812,693.4843139648438,751.9686279296875,680.6463623046875,71.3222885131836,0.0,719.5585327148438,777.9326171875,706.7448120117188,71.18779754638672,0.0
729.6991577148438,693.7962036132812,751.9745483398438,680.8084106445312,71.16613006591797,0.0,719.84765625,778.05517578125,706.8531494140625,71.2020492553711,0.0
